Date,From, To, number of datasets,Non geospatial, % of non-geospatial with 3+ rating,number of API enabled datasets,% of API enable datasets ,Totals downloads,Total visits
2023-09-19,2023-04-01,2023-09-19,3094,2269,56.54,9,1.17,490651,1177657
2023-09-18,2023-04-01,2023-09-18,3094,2269,56.54,9,1.17,490651,1177657
2023-09-17,2023-04-01,2023-09-17,3094,2269,56.54,9,1.17,490651,1177657
2023-09-16,2023-04-01,2023-09-16,3094,2269,56.54,9,1.17,490651,1177657
2023-09-15,2023-04-01,2023-09-15,3093,2269,56.54,9,1.17,490651,1177657
2023-09-14,2023-04-01,2023-09-14,3062,2269,56.54,9,1.17,490651,1177657
2023-08-31,2023-04-01,2023-08-31,3022,2045,53.74,2,0.34,403752,971866
2023-08-30,2023-04-01,2023-08-30,2989,2045,53.74,2,0.34,403752,971866
2023-08-29,2023-04-01,2023-08-29,2990,2045,53.74,2,0.34,403752,971866
2023-08-28,2023-04-01,2023-08-28,2990,2045,53.74,2,0.34,403752,971866
2023-08-27,2023-04-01,2023-08-27,2990,2045,53.74,2,0.34,403752,971866
2023-08-26,2023-04-01,2023-08-26,2990,2045,53.74,2,0.34,403752,971866
2023-08-25,2023-04-01,2023-08-25,2989,2045,53.74,2,0.34,403752,971866
2023-08-24,2023-04-01,2023-08-24,2989,2045,53.74,2,0.34,403752,971866
2023-08-23,2023-04-01,2023-08-23,2987,2045,53.74,2,0.34,403752,971866
2023-08-22,2023-04-01,2023-08-22,2986,2045,53.74,2,0.34,403752,971866
2023-08-21,2023-04-01,2023-08-21,2986,2045,53.74,2,0.34,403752,971866
2023-08-20,2023-04-01,2023-08-20,2986,2045,53.74,2,0.34,403752,971866
2023-08-19,2023-04-01,2023-08-19,2982,2045,53.74,2,0.34,403752,971866
2023-08-17,2023-04-01,2023-08-17,2979,2045,53.74,2,0.34,403752,971866
2023-08-16,2023-04-01,2023-08-16,2973,2045,53.74,2,0.34,403752,971866
2023-08-15,2023-04-01,2023-08-15,2973,2045,53.74,2,0.34,403752,971866
2023-08-14,2023-04-01,2023-08-14,2973,2045,53.74,2,0.34,403752,971866
2023-08-13,2023-04-01,2023-08-13,2973,2045,53.74,2,0.34,403752,971866
2023-08-12,2023-04-01,2023-08-12,2973,2045,53.74,2,0.34,403752,971866
2023-08-11,2023-04-01,2023-08-11,2973,2045,53.74,2,0.34,403752,971866
2023-08-10,2023-04-01,2023-08-10,2973,2045,53.74,2,0.34,403752,971866
2023-07-19,2023-04-01,2023-07-19,2922,2045,53.74,2,0.34,319490,727788
2023-07-18,2023-04-01,2023-07-18,2921,2045,53.74,2,0.34,319490,727788
